Date,Game,Media_Channel,Cost,Daily_Total_Revenue,Daily_Total_Installs
2014-02-21,8_ball_pool,Facebook,5207.506978273891,14586.623100795296,1784
2014-02-22,8_ball_pool,Facebook,5479.282051158621,12477.272087804802,1530
2014-02-23,8_ball_pool,Facebook,5335.473007513674,10040.42591416993,1621
2014-02-24,8_ball_pool,Facebook,5854.965527754027,9449.666625043874,1466
2014-02-25,8_ball_pool,Facebook,4115.883922829758,8073.943709415691,1494
2014-02-26,8_ball_pool,Facebook,4827.637169302618,11797.86121608288,1482
2014-02-27,8_ball_pool,Facebook,4528.081116466927,9318.784400789362,1566
2014-02-28,8_ball_pool,Facebook,5398.888379636404,8818.058944681017,1583
2014-03-01,8_ball_pool,Facebook,5316.16249350465,10120.467484390647,1364
2014-03-02,8_ball_pool,Facebook,4917.70200013642,8671.121446810568,1429
2014-03-03,8_ball_pool,Facebook,5119.63521454405,8788.930134591748,1458
2014-03-04,8_ball_pool,Facebook,4640.304374302007,9691.189230927237,1312
2014-03-05,8_ball_pool,Facebook,5758.604837323045,9931.686088467826,1381
2014-03-06,8_ball_pool,Facebook,4924.102715849424,8148.37613489483,1432
2014-03-07,8_ball_pool,Facebook,5617.677490511183,9014.517580998687,1483
2014-03-08,8_ball_pool,Facebook,4888.728725277121,8230.066339965317,1268
2014-03-09,8_ball_pool,Facebook,5598.772711850842,9934.489426445423,1469
2014-03-10,8_ball_pool,Facebook,5035.858765864382,9570.797506610768,1485
2014-03-11,8_ball_pool,Facebook,5212.718965049601,9400.51352602838,1462
2014-03-12,8_ball_pool,Facebook,5453.078164020486,7436.6505382733285,1397
2014-03-13,8_ball_pool,Facebook,5075.288776813911,5726.3885048949505,1321
2014-03-14,8_ball_pool,Facebook,5115.192695472148,9799.978955049432,1415
2014-03-15,8_ball_pool,Facebook,4963.258597088962,11131.210327535955,1452
2014-03-16,8_ball_pool,Facebook,5442.864187022097,9607.081885329058,1517
2014-03-17,8_ball_pool,Facebook,5726.685749800474,7708.521438568796,1445
2014-03-18,8_ball_pool,Facebook,5444.271373576759,8212.170381821814,1472
2014-03-19,8_ball_pool,Facebook,4881.818264956602,9858.222819631364,1499
2014-03-20,8_ball_pool,Facebook,6096.986240179314,7891.270881247574,1382
2014-03-21,8_ball_pool,Facebook,5349.557737011504,6512.663357750157,1297
2014-03-22,8_ball_pool,Facebook,5308.336950615554,8583.94507254704,1484
2014-03-23,8_ball_pool,Facebook,5479.9099748567605,9257.154040345282,1396
2014-03-24,8_ball_pool,Facebook,5523.690788905155,7204.235100266468,1537
2014-03-25,8_ball_pool,Facebook,4297.227073301529,9418.852134845982,1273
2014-03-26,8_ball_pool,Facebook,5738.30852484078,8347.847516919534,1442
2014-03-27,8_ball_pool,Facebook,4224.44796594758,10348.706370514474,1378
2014-03-28,8_ball_pool,Facebook,5220.17076934855,11541.24940926077,1390
2014-03-29,8_ball_pool,Facebook,5633.811907923862,8988.512802213585,1420
2014-03-30,8_ball_pool,Facebook,4531.734637168092,7923.094201933949,1321
2014-03-31,8_ball_pool,Facebook,5001.092638863052,9819.31363470298,1426
2014-04-01,8_ball_pool,Facebook,4090.5522399160873,11994.939466216993,1582
2014-04-02,8_ball_pool,Facebook,4999.136861924251,10591.970990419473,1516
2014-04-03,8_ball_pool,Facebook,5245.775827810692,9918.149788123066,1601
2014-04-04,8_ball_pool,Facebook,4211.94076370576,11175.60610239408,1573
2014-04-05,8_ball_pool,Facebook,4811.597688303336,9869.406008354877,1610
2014-04-06,8_ball_pool,Facebook,4904.220621980827,10021.029511139232,1544
2014-04-07,8_ball_pool,Facebook,5840.998836584637,11731.281709179517,1641
2014-04-08,8_ball_pool,Facebook,5571.1713151168215,7047.624642050127,1488
2014-04-09,8_ball_pool,Facebook,5100.414332355908,11776.521994050327,1661
2014-04-10,8_ball_pool,Facebook,6036.509284677266,12538.87999857249,1670
2014-04-11,8_ball_pool,Facebook,4376.845294699267,9999.796996897425,1437
2014-04-12,8_ball_pool,Facebook,4366.47288943904,7676.154481209463,1566
2014-04-13,8_ball_pool,Facebook,5714.447185727901,12305.706745057967,1676
2014-04-14,8_ball_pool,Facebook,4947.269050914622,9896.196382069817,1555
2014-04-15,8_ball_pool,Facebook,4528.682590976409,13542.465026537584,1453
2014-04-16,8_ball_pool,Facebook,5150.405866198329,10930.206673776462,1502
2014-04-17,8_ball_pool,Facebook,4094.98466721422,9140.413527467901,1585
2014-04-18,8_ball_pool,Facebook,4654.336513098267,9439.463706787634,1482
2014-04-19,8_ball_pool,Facebook,4847.270633813015,10678.96621916091,1511
2014-04-20,8_ball_pool,Facebook,5274.814496090372,9871.851559205577,1564
2014-04-21,8_ball_pool,Facebook,4227.5790057166905,10986.409505962412,1535
2014-04-22,8_ball_pool,Facebook,5547.788684548299,8538.261596697663,1499
2014-04-23,8_ball_pool,Facebook,5537.404055884051,11577.546064324142,1603
2014-04-24,8_ball_pool,Facebook,5562.542984844739,12243.226631321455,1626
2014-04-25,8_ball_pool,Facebook,4576.671795378696,9691.89677731636,1465
2014-04-26,8_ball_pool,Facebook,5606.39365164442,8086.903523700731,1536
2014-04-27,8_ball_pool,Facebook,5328.804058930598,11561.69637393771,1664
2014-04-28,8_ball_pool,Facebook,5270.324614354695,8954.020699450015,1584
2014-04-29,8_ball_pool,Facebook,5156.951034777523,9736.393044113482,1455
2014-04-30,8_ball_pool,Facebook,5706.373707691222,11723.087297208218,1564
2014-05-01,8_ball_pool,Facebook,4112.061781797764,12866.684404325963,1671
2014-05-02,8_ball_pool,Facebook,4731.694121800518,12734.25973166697,1666
2014-05-03,8_ball_pool,Facebook,5842.840012154591,12213.035551530838,1800
2014-05-04,8_ball_pool,Facebook,4879.4722073681705,12728.941091797282,1675
2014-05-05,8_ball_pool,Facebook,4715.814397907981,12705.91482555214,1634
2014-05-06,8_ball_pool,Facebook,5536.3947613414675,11500.228156842608,1809
2014-05-07,8_ball_pool,Facebook,5010.486055477604,11083.807651576606,1762
2014-05-08,8_ball_pool,Facebook,4280.03828541347,9136.77403172827,1667
2014-05-09,8_ball_pool,Facebook,5547.325092457189,9087.223393706034,1667
2014-05-10,8_ball_pool,Facebook,4802.8951556552565,11361.275554320426,1714
2014-05-11,8_ball_pool,Facebook,5062.751261180088,10030.242149464733,1759
2014-05-12,8_ball_pool,Facebook,5357.31839583638,11975.384052816018,1831
2014-05-13,8_ball_pool,Facebook,5285.525282892641,11203.805987212356,1732
2014-05-14,8_ball_pool,Facebook,5914.273800644511,12801.786779172126,1839
2014-05-15,8_ball_pool,Facebook,4264.35888982196,10436.637785573479,1676
2014-05-16,8_ball_pool,Facebook,4452.057028309739,15281.701128382338,1756
2014-05-17,8_ball_pool,Facebook,5325.031695962193,10342.130095132896,1675
2014-05-18,8_ball_pool,Facebook,4576.9999554139,15295.936252384781,1794
2014-05-19,8_ball_pool,Facebook,5656.2010269086495,9604.872183288644,1744
2014-05-20,8_ball_pool,Facebook,4636.303936374455,12577.875910167317,1701
2014-05-21,8_ball_pool,Facebook,4769.681588082117,8842.337372977832,1724
2014-05-22,8_ball_pool,Facebook,5187.24352270955,11329.08536674341,1669
2014-05-23,8_ball_pool,Facebook,4703.799677231484,16171.399024634424,1768
2014-05-24,8_ball_pool,Facebook,4759.504556130237,10817.647272888116,1643
2014-05-25,8_ball_pool,Facebook,4654.277004473831,9696.047452282162,1633
2014-05-26,8_ball_pool,Facebook,5711.895075914943,14717.347832971773,1818
2014-05-27,8_ball_pool,Facebook,4080.7477838391874,7703.566251149329,1763
2014-05-28,8_ball_pool,Facebook,4673.292297887653,10879.64748221358,1796
2014-05-29,8_ball_pool,Facebook,5377.022524447311,10275.756779407311,1783
2014-05-30,8_ball_pool,Facebook,4768.791937161542,11841.257167911484,1774
2014-05-31,8_ball_pool,Facebook,5014.916845394542,11428.417399996062,1779
2014-06-01,8_ball_pool,Facebook,5552.895696420274,14872.145316247952,2105
2014-06-02,8_ball_pool,Facebook,4459.490363944225,13507.51107360781,2078
2014-06-03,8_ball_pool,Facebook,5785.6776008659635,15869.822864109245,2011
2014-06-04,8_ball_pool,Facebook,5403.003232944156,16307.77955693609,2127
2014-06-05,8_ball_pool,Facebook,5229.193527503953,13130.751652460622,1914
2014-06-06,8_ball_pool,Facebook,4530.005020649952,12879.394501047342,1853
2014-06-07,8_ball_pool,Facebook,4626.559996930329,11847.230122502042,1969
2014-06-08,8_ball_pool,Facebook,5466.569462444755,12036.665043830184,2003
2014-06-09,8_ball_pool,Facebook,4934.1919651759745,7618.279071309171,1957
2014-06-10,8_ball_pool,Facebook,4653.6043218935765,14660.476182087205,2081
2014-06-11,8_ball_pool,Facebook,5029.715570515756,16253.329941857537,2092
2014-06-12,8_ball_pool,Facebook,4555.718279300085,12851.64859299684,1926
2014-06-13,8_ball_pool,Facebook,5418.673016804867,13712.697977472675,1989
2014-06-14,8_ball_pool,Facebook,5686.722028405986,14784.412567146925,2027
2014-06-15,8_ball_pool,Facebook,5178.100014344964,16621.51092199102,2016
2014-06-16,8_ball_pool,Facebook,4907.369819558894,14725.61408680047,1822
2014-06-17,8_ball_pool,Facebook,4723.232318951566,11614.94030003115,1850
2014-06-18,8_ball_pool,Facebook,5577.6557595734,8947.580108402897,2007
2014-06-19,8_ball_pool,Facebook,4838.715698406917,12874.908134369409,2024
2014-06-20,8_ball_pool,Facebook,5615.384602353913,11073.062048460415,1893
2014-06-21,8_ball_pool,Facebook,4172.793939153088,12708.379183026642,1939
2014-06-22,8_ball_pool,Facebook,4650.021812797177,14748.848969983635,1901
2014-06-23,8_ball_pool,Facebook,5280.79479202799,14980.749860294469,2059
2014-06-24,8_ball_pool,Facebook,4483.100494530655,17252.502492535452,2017
2014-06-25,8_ball_pool,Facebook,5085.039586204259,16921.46896852369,2005
2014-06-26,8_ball_pool,Facebook,5120.954017909956,13155.009439730195,2011
2014-06-27,8_ball_pool,Facebook,4988.873795931481,10119.073313599989,1948
2014-06-28,8_ball_pool,Facebook,4998.202932733107,13721.066560008294,1880
2014-06-29,8_ball_pool,Facebook,4839.444436782376,14995.620386315864,2050
2014-06-30,8_ball_pool,Facebook,4933.586651853527,13614.084952338386,2003
2014-07-01,8_ball_pool,Facebook,4609.708563437074,17359.317018471847,2254
2014-07-02,8_ball_pool,Facebook,5629.743313019434,16887.53251676877,2369
2014-07-03,8_ball_pool,Facebook,4579.676471823778,14393.476480735222,2207
2014-07-04,8_ball_pool,Facebook,5453.431447266353,14543.383646347935,2207
2014-07-05,8_ball_pool,Facebook,4794.890901537297,18521.928456085676,2225
2014-07-06,8_ball_pool,Facebook,5191.555460840612,18904.584795409603,2203
2014-07-07,8_ball_pool,Facebook,4744.714023542762,15990.737790375157,2309
2014-07-08,8_ball_pool,Facebook,4596.151651844104,13077.083908024662,2258
2014-07-09,8_ball_pool,Facebook,4811.678414446761,13897.220643237659,2224
2014-07-10,8_ball_pool,Facebook,6654.4020802249115,16198.919168378221,2660
2014-07-11,8_ball_pool,Facebook,4082.324205313394,14614.282354130291,2098
2014-07-12,8_ball_pool,Facebook,4606.662399032549,15648.962165469791,2325
2014-07-13,8_ball_pool,Facebook,5072.68187274385,14770.799451258743,2202
2014-07-14,8_ball_pool,Facebook,5240.867127944163,19369.48065706659,2261
2014-07-15,8_ball_pool,Facebook,5717.913104626514,15736.502100316815,2419
2014-07-16,8_ball_pool,Facebook,4722.028319703126,17609.027265091387,2396
2014-07-17,8_ball_pool,Facebook,5111.121915586491,15414.477627992368,2199
2014-07-18,8_ball_pool,Facebook,5070.11640851047,13076.340633607275,2151
2014-07-19,8_ball_pool,Facebook,4345.434604616577,14769.92363154676,2216
2014-07-20,8_ball_pool,Facebook,4614.238236794895,20429.449562218873,2418
2014-07-21,8_ball_pool,Facebook,4767.737036654322,17294.80556890417,2321
2014-07-22,8_ball_pool,Facebook,5347.501096297169,10467.82239329104,2320
2014-07-23,8_ball_pool,Facebook,3925.2504684909204,16498.90932358988,2081
2014-07-24,8_ball_pool,Facebook,5518.060198207611,13270.918450734816,2420
2014-07-25,8_ball_pool,Facebook,4499.7251676921815,18184.776895264156,2345
2014-07-26,8_ball_pool,Facebook,5219.326316421896,19782.21405710092,2316
2014-07-27,8_ball_pool,Facebook,3680.0816288488504,14208.442378247832,2150
2014-07-28,8_ball_pool,Facebook,4754.163170382685,13928.675248681879,2330
2014-07-29,8_ball_pool,Facebook,4922.6254945508545,17434.30510843046,2269
2014-07-30,8_ball_pool,Facebook,4228.717226634926,14686.979003654651,2091
2014-07-31,8_ball_pool,Facebook,4680.868379564331,15344.382110930539,2162
2014-08-01,8_ball_pool,Facebook,5185.787113772522,16343.609772157972,2711
2014-08-02,8_ball_pool,Facebook,4688.577100503743,19884.906025114058,2752
2014-08-03,8_ball_pool,Facebook,5053.755902801758,18337.235092605784,2691
2014-08-04,8_ball_pool,Facebook,5468.207834634484,20320.782546835777,2819
2014-08-05,8_ball_pool,Facebook,5141.551041181898,18035.61127949147,2611
2014-08-06,8_ball_pool,Facebook,4192.854193461848,20283.78625029371,2605
2014-08-07,8_ball_pool,Facebook,5125.941962862686,14348.130589918901,2633
2014-08-08,8_ball_pool,Facebook,5011.234690319466,22380.569587000522,2769
2014-08-09,8_ball_pool,Facebook,4342.633656956831,15617.503282241134,2500
2014-08-10,8_ball_pool,Facebook,4672.58198880043,20153.221653845474,2653
2014-08-11,8_ball_pool,Facebook,5080.90975184751,17195.183464250767,2790
2014-08-12,8_ball_pool,Facebook,5675.3593849050485,18528.096088539176,2736
2014-08-13,8_ball_pool,Facebook,5688.6237150431525,17611.03746239037,2800
2014-08-14,8_ball_pool,Facebook,5244.581582425415,18339.233533136845,2717
2014-08-15,8_ball_pool,Facebook,5136.604990858336,18784.860104037318,2829
2014-08-16,8_ball_pool,Facebook,5365.818742992765,13835.49525443602,2679
2014-08-17,8_ball_pool,Facebook,4577.471934239426,16579.550082021222,2684
2014-08-18,8_ball_pool,Facebook,4725.075957167416,17519.886492788304,2505
2014-08-19,8_ball_pool,Facebook,4746.542427899922,20421.66184295044,2700
2014-08-20,8_ball_pool,Facebook,5484.601442556643,15194.23689910208,2770
2014-08-21,8_ball_pool,Facebook,4647.8385077478915,21470.24445682692,2643
2014-08-22,8_ball_pool,Facebook,4769.409695593833,14138.225755686897,2691
2014-08-23,8_ball_pool,Facebook,4874.192378828603,19037.1736080723,2719
2014-08-24,8_ball_pool,Facebook,3850.4352403160515,16158.483021743068,2530
2014-08-25,8_ball_pool,Facebook,5637.9016383425605,18858.364944725377,2719
2014-08-26,8_ball_pool,Facebook,4457.52512421916,24032.196191532792,2736
2014-08-27,8_ball_pool,Facebook,4662.989946314683,22744.46948279204,2698
2014-08-28,8_ball_pool,Facebook,4561.154144068632,17954.500092922823,2591
2014-08-29,8_ball_pool,Facebook,4935.392146277496,19830.698658842943,2506
2014-08-30,8_ball_pool,Facebook,5073.09750032856,18347.690275534478,2745
2014-08-31,8_ball_pool,Facebook,5733.599036159367,23917.134201625995,2781
2014-09-01,8_ball_pool,Facebook,5270.517731005586,19986.370381529083,3300
2014-09-02,8_ball_pool,Facebook,5597.764914633212,22142.401771131594,3508
2014-09-03,8_ball_pool,Facebook,4940.155003721717,17901.169591426245,3133
2014-09-04,8_ball_pool,Facebook,5516.22061846742,20911.462348407927,3400
2014-09-05,8_ball_pool,Facebook,5201.259922616083,25415.209210184767,3499
2014-09-06,8_ball_pool,Facebook,5344.7188970047155,24094.26509743394,3318
2014-09-07,8_ball_pool,Facebook,5164.331866030325,20429.44733307475,3394
2014-09-08,8_ball_pool,Facebook,4955.614406629675,19883.468537549175,3317
2014-09-09,8_ball_pool,Facebook,4261.310839511649,29242.667550362174,2969
2014-09-10,8_ball_pool,Facebook,4329.631923909248,21654.346716656393,2947
2014-09-11,8_ball_pool,Facebook,5027.882557937536,17212.411046332694,3087
2014-09-12,8_ball_pool,Facebook,4853.761320053197,27935.877958727666,3273
2014-09-13,8_ball_pool,Facebook,5476.431591077419,23326.323360903298,3522
2014-09-14,8_ball_pool,Facebook,5478.7347414781525,15580.162662546347,3462
2014-09-15,8_ball_pool,Facebook,4054.3277011283058,23752.403307789904,3166
2014-09-16,8_ball_pool,Facebook,5163.2952813833945,31797.41088902953,3363
2014-09-17,8_ball_pool,Facebook,5863.001174603291,19645.17622292352,3320
2014-09-18,8_ball_pool,Facebook,4799.167493195872,19736.48864318489,3117
2014-09-19,8_ball_pool,Facebook,4983.044665676841,21408.848062539186,3158
2014-09-20,8_ball_pool,Facebook,4375.499509636262,28280.25915164066,3291
2014-09-21,8_ball_pool,Facebook,5392.31417292579,18074.62510898916,3309
2014-09-22,8_ball_pool,Facebook,5288.148669128158,16182.936487632764,3313
2014-09-23,8_ball_pool,Facebook,4350.714270325008,21876.09444836476,3356
2014-09-24,8_ball_pool,Facebook,4508.491788598578,15515.141685354567,3364
2014-09-25,8_ball_pool,Facebook,5923.937953470469,29014.82969344801,3479
2014-09-26,8_ball_pool,Facebook,4708.370219022316,24386.422793275102,3539
2014-09-27,8_ball_pool,Facebook,5224.452341468511,22186.775366508686,3382
2014-09-28,8_ball_pool,Facebook,4835.0860141290295,19510.434443374375,3257
2014-09-29,8_ball_pool,Facebook,4508.65025264215,24875.58007553014,3341
2014-09-30,8_ball_pool,Facebook,5172.375436613719,19512.19947061349,3281
2014-10-01,8_ball_pool,Facebook,3696.5254694438604,17338.852987965598,2545
2014-10-02,8_ball_pool,Facebook,5392.901546966614,18571.143660065132,2582
2014-10-03,8_ball_pool,Facebook,5141.42005504834,23466.57001666756,2695
2014-10-04,8_ball_pool,Facebook,5094.354255336906,19501.976101000088,2448
2014-10-05,8_ball_pool,Facebook,4367.788908635961,18158.157938485256,2448
2014-10-06,8_ball_pool,Facebook,4801.512669007229,15525.644836336418,2487
2014-10-07,8_ball_pool,Facebook,5413.7383183311695,16502.277461380934,2731
2014-10-08,8_ball_pool,Facebook,4434.740255453922,18333.18090634941,2728
2014-10-09,8_ball_pool,Facebook,4676.706050707658,19923.616906223673,2705
2014-10-10,8_ball_pool,Facebook,4797.767328480758,20109.58956731492,2831
2014-10-11,8_ball_pool,Facebook,5182.322830073656,22486.484310070686,2777
2014-10-12,8_ball_pool,Facebook,6718.9660706313825,17533.055518985137,3106
2014-10-13,8_ball_pool,Facebook,4825.545274774053,18436.00976117522,2595
2014-10-14,8_ball_pool,Facebook,4899.462696315938,19252.792745370818,2635
2014-10-15,8_ball_pool,Facebook,5265.201166888345,18063.397088779755,2749
2014-10-16,8_ball_pool,Facebook,5557.083417423577,18127.246640052894,2880
2014-10-17,8_ball_pool,Facebook,5343.908437958183,16594.799605830674,2758
2014-10-18,8_ball_pool,Facebook,5703.225302965611,15408.723160205835,2664
2014-10-19,8_ball_pool,Facebook,4855.4976634576105,17327.03794458227,2662
2014-10-20,8_ball_pool,Facebook,4956.256441023605,21012.91591110258,2434
2014-10-21,8_ball_pool,Facebook,5242.425465914477,19750.91846718821,2824
2014-10-22,8_ball_pool,Facebook,4679.503767724242,21454.50131799352,2679
2014-10-23,8_ball_pool,Facebook,4680.733938663728,18737.96876051272,2717
2014-10-24,8_ball_pool,Facebook,5191.125614885216,18384.803799103298,2798
2014-10-25,8_ball_pool,Facebook,4752.876486313863,18378.15175949743,2675
2014-10-26,8_ball_pool,Facebook,5364.176194509986,17099.54202241164,2753
2014-10-27,8_ball_pool,Facebook,4620.197915839656,17943.079564703286,2750
2014-10-28,8_ball_pool,Facebook,4152.341184107542,16979.258509050665,2683
2014-10-29,8_ball_pool,Facebook,4804.103508060472,22316.60802596827,2683
2014-10-30,8_ball_pool,Facebook,4816.159769240895,18602.300467741912,2593
2014-10-31,8_ball_pool,Facebook,4722.534639760551,16550.8066932516,2612
2014-11-01,8_ball_pool,Facebook,5589.239463164204,14798.937594049272,2229
2014-11-02,8_ball_pool,Facebook,5020.467986474469,12035.218697157039,2269
2014-11-03,8_ball_pool,Facebook,5269.738097717678,12834.26270941119,2362
2014-11-04,8_ball_pool,Facebook,4923.06867946758,16041.581390924444,2229
2014-11-05,8_ball_pool,Facebook,5109.856400045592,13242.883756964104,2269
2014-11-06,8_ball_pool,Facebook,5220.83961077908,13659.61850615086,2285
2014-11-07,8_ball_pool,Facebook,4552.15454846719,13166.825349066217,2251
2014-11-08,8_ball_pool,Facebook,4923.061047944106,13783.30875709681,2248
2014-11-09,8_ball_pool,Facebook,4424.15134702345,15271.85593157864,2324
2014-11-10,8_ball_pool,Facebook,4911.798429989582,11954.924591242167,2273
2014-11-11,8_ball_pool,Facebook,5509.302923320151,17415.604401340468,2348
2014-11-12,8_ball_pool,Facebook,4956.801822268939,16889.714821423047,2218
2014-11-13,8_ball_pool,Facebook,5270.2430715527635,18400.94737742177,2293
2014-11-14,8_ball_pool,Facebook,4738.42125337318,15484.667656608339,2317
2014-11-15,8_ball_pool,Facebook,6124.654383058447,19023.995184234343,2363
2014-11-16,8_ball_pool,Facebook,5334.260977774814,15486.78145249279,2308
2014-11-17,8_ball_pool,Facebook,5657.983386225941,14803.208854276205,2326
2014-11-18,8_ball_pool,Facebook,4942.8838515722755,14319.12227120885,2285
2014-11-19,8_ball_pool,Facebook,4275.708841213259,18331.934111208862,2318
2014-11-20,8_ball_pool,Facebook,5008.757561337508,15680.198764600813,2140
2014-11-21,8_ball_pool,Facebook,5369.355553370515,13079.32971177222,2330
2014-11-22,8_ball_pool,Facebook,5055.428474526509,21832.067834191006,2381
2014-11-23,8_ball_pool,Facebook,5158.933924923063,16618.21152810307,2257
2014-11-24,8_ball_pool,Facebook,4528.681250500121,16061.194772303159,2159
2014-11-25,8_ball_pool,Facebook,5489.570594059366,18113.704273793206,2357
2014-11-26,8_ball_pool,Facebook,5074.0292645347245,12383.41857268955,2317
2014-11-27,8_ball_pool,Facebook,5235.740821423824,19051.571743707897,2258
2014-11-28,8_ball_pool,Facebook,4703.710199730224,15124.642669787198,2276
2014-11-29,8_ball_pool,Facebook,4145.505030231622,12830.693775272448,2049
2014-11-30,8_ball_pool,Facebook,5476.87870124946,15522.521830214759,2357
2014-12-01,8_ball_pool,Facebook,5309.38092098668,9937.53493256884,2033
2014-12-02,8_ball_pool,Facebook,5123.405297002532,14237.693179030488,1918
2014-12-03,8_ball_pool,Facebook,4598.976436284911,8554.01958679073,1839
2014-12-04,8_ball_pool,Facebook,5069.12786806407,13301.707938994123,1882
2014-12-05,8_ball_pool,Facebook,5322.843063617796,13995.359749114492,2008
2014-12-06,8_ball_pool,Facebook,5529.918104700242,7497.066131050399,2070
2014-12-07,8_ball_pool,Facebook,4559.463974667224,9187.655841247444,2042
2014-12-08,8_ball_pool,Facebook,4378.6795017624045,13340.265529162727,1890
2014-12-09,8_ball_pool,Facebook,5004.320208465092,12719.94746849247,1992
2014-12-10,8_ball_pool,Facebook,5231.970150638597,8902.958528301431,2140
2014-12-11,8_ball_pool,Facebook,4695.077367762636,11316.408595939392,1977
2014-12-12,8_ball_pool,Facebook,4090.3052311997085,16410.309588683525,1825
2014-12-13,8_ball_pool,Facebook,4563.700109391028,15825.638053048122,2028
2014-12-14,8_ball_pool,Facebook,3963.383174919861,12023.009534931873,1731
2014-12-15,8_ball_pool,Facebook,4145.936769275234,14306.985173298308,1894
2014-12-16,8_ball_pool,Facebook,4912.235955081793,16457.21023309058,2064
2014-12-17,8_ball_pool,Facebook,5356.809688940838,13358.551811733934,1902
2014-12-18,8_ball_pool,Facebook,5671.8341412714435,14720.634292350122,2032
2014-12-19,8_ball_pool,Facebook,4497.368029212778,12937.35662261541,2036
2014-12-20,8_ball_pool,Facebook,4657.11133127057,15722.029015662632,2017
2014-12-21,8_ball_pool,Facebook,5279.884288256401,14798.543236899155,2064
